project_id,state,district,constituency,work_type,description,sanctioned_amount,released_amount,expenditure,physical_progress,start_date,expected_completion,latitude,longitude,agency,contractor
MD001,Rajasthan,Kota,Jaipur Rural,Drinking Water Supply,Bore well construction and pump installation for community,2500000,2216834,2172937,32.3,2023-03-13,2024-01-03,24.595348,71.062171,Municipal Corporation,Apex Infra Solutions
MD002,Rajasthan,Kota,Ajmer North,Health Sub-Center,Construction of additional room in health sub-center,800000,614699,372906,59.1,2023-04-29,2024-04-22,26.928291,70.538993,Zila Parishad,Apex Infra Solutions
MD003,Rajasthan,Jaipur,Kota South,Bridge Construction,Construction of pedestrian bridge over canal,2500000,2183305,1807966,12.4,2023-06-22,2024-04-13,26.921385,74.878391,Public Works Department,Apex Infra Solutions
MD004,Rajasthan,Udaipur,Ajmer North,Bridge Construction,Construction of RCC bridge over nallah for connectivity,1500000,1423232,1110481,89.8,2024-01-06,2025-04-25,26.48379,75.13841,Municipal Corporation,Apex Infra Solutions
MD005,Maharashtra,Aurangabad,Nashik West,Road Construction,Construction of interlocking paver block road in ward,2500000,2317489,1217372,33.6,2023-08-23,2024-07-18,18.233275,74.601867,Public Works Department,Rao & Associates
MD006,Maharashtra,Aurangabad,Nashik West,Road Construction,Development of interlocking paver block road in ward,2667055,2380219,882753,52.4,2023-09-30,2024-08-25,18.236286,74.597381,Public Works Department,Rao & Associates
MD007,Tamil Nadu,Chennai,Coimbatore North,Drinking Water Supply,Installation of hand pump for drinking water supply,2000000,1953873,1049996,30.0,2023-07-04,2024-07-23,13.005471,77.758712,Urban Local Body,Desai Infrastructure
MD008,Tamil Nadu,Chennai,Coimbatore North,Drinking Water Supply,Installation of hand pump for drinking water supply (Phase 2),1960466,1623121,928274,38.9,2023-08-01,2024-08-20,13.009423,77.757567,Urban Local Body,Desai Infrastructure
MD009,Uttar Pradesh,Agra,Kanpur City,Community Hall,Construction of panchayat bhawan for community use,1500000,1404144,763115,38.5,2023-07-17,2024-03-25,28.01386,79.764207,Zila Parishad,Mishra Builders
MD010,Uttar Pradesh,Agra,Kanpur City,Community Hall,Development of panchayat bhawan for community use,1502858,1381394,586738,28.8,2023-09-18,2024-05-27,28.014712,79.771286,Zila Parishad,Mishra Builders
MD011,Karnataka,Belagavi,Bengaluru South,Drinking Water Supply,Laying of water supply pipeline to underserved area,2500000,2413225,1933438,14.0,2023-06-24,2024-04-17,15.887552,77.166868,Public Works Department,Nair Infrastructure
MD012,Madhya Pradesh,Ujjain,Ujjain West,Drainage System,Construction of covered drainage along main road,4000000,3519347,3339379,29.5,2023-07-11,2024-05-17,24.096306,77.931634,Public Works Department,Pillai Constructions
MD013,Rajasthan,Kota,Jaipur Rural,Public Toilet,Construction of community toilet block with water supply,2000000,1717378,1442827,22.1,2023-10-18,2024-08-03,24.885174,73.351694,Zila Parishad,Reddy Construction
MD014,Maharashtra,Thane,Nashik West,Health Sub-Center,Construction of health wellness center in rural area,3000000,2983963,2250863,17.8,2023-10-04,2024-12-23,20.648649,75.708917,Municipal Corporation,Gupta Civil Works
MD015,Uttar Pradesh,Kanpur,Lucknow East,Drinking Water Supply,Construction of overhead water tank with distribution network,1500000,1407369,1132582,11.8,2023-04-28,2024-06-21,25.235901,79.157065,Block Development Office,Patel & Sons Builders
MD016,Tamil Nadu,Coimbatore,Trichy East,Health Sub-Center,Construction of health wellness center in rural area,2500000,2375867,1832695,33.4,2023-04-20,2024-06-01,10.471989,78.391892,Gram Panchayat,Gupta Civil Works
MD017,Rajasthan,Jaipur,Jaipur Rural,Drinking Water Supply,Installation of hand pump for drinking water supply,2000000,1412579,832503,70.2,2022-12-28,2023-10-23,25.707864,72.535816,Public Works Department,Gupta Civil Works
MD018,Karnataka,Mysuru,Bengaluru South,Community Hall,Renovation of existing community hall with modern amenities,2000000,1284109,1324692,56.2,2022-09-02,2023-05-11,15.232089,77.495884,Public Works Department,Sharma Construction Co.
MD019,Madhya Pradesh,Bhopal,Gwalior South,Health Sub-Center,Construction of health sub-center building in village,800000,702328,435526,54.2,2022-09-30,2023-05-10,22.57623,75.012932,Gram Panchayat,Reddy Construction
